Recency,Frequency,Monetary,R,F,M
25,2,5753,2,1,2
0,7,28343,5,5,5
6,2,6680,5,1,3
14,3,7889,4,2,3
15,4,16149,4,3,5
31,1,1308,1,1,1
10,4,12993,5,3,4
14,5,19564,4,4,5
12,4,7917,5,3,3
11,3,3169,5,2,1
16,2,8146,3,1,3
16,2,1962,3,1,1
15,4,5622,4,3,2
15,5,3737,4,4,1
41,5,15283,1,4,5
21,5,3105,2,4,1
11,6,24260,5,4,5
37,2,6201,1,1,2
30,2,8132,1,1,3
25,1,7928,2,1,3
19,1,4793,2,1,2
9,4,9286,5,3,3
44,1,6972,1,1,3
14,3,4631,4,2,2
11,2,5570,5,1,2
21,3,97,2,2,1
14,1,987,4,1,1
17,3,6409,3,2,2
28,3,1451,1,2,1
12,2,1350,5,1,1
23,3,9991,2,2,4
18,5,11476,3,4,4
13,6,16430,4,4,5
28,1,3863,1,1,2
12,7,7803,5,5,3
31,5,8607,1,4,3
20,4,8163,2,3,3
18,9,13252,3,5,4
34,6,13247,1,4,4
15,3,6726,4,2,3
30,8,7186,1,5,3
20,1,530,2,1,1
14,6,11763,4,4,4
28,3,3605,1,2,1
47,1,1785,1,1,1
15,6,14115,4,4,5
19,4,19838,2,3,5
11,3,6600,5,2,2
14,5,17918,4,4,5
20,7,3222,2,5,1
11,1,6574,5,1,2
14,2,5213,4,1,2
11,3,9864,5,2,4
14,11,10010,4,5,4
17,2,3042,3,1,1
13,7,12936,4,5,4
19,6,11353,2,4,4
17,4,3242,3,3,1
13,5,3974,4,4,2
11,4,6907,5,3,3
4,6,15594,5,4,5
11,1,2105,5,1,1
11,2,3380,5,1,1
29,3,9353,1,2,3
13,2,3023,4,1,1
16,2,609,3,1,1
24,9,14011,2,5,5
11,7,4668,5,5,2
2,6,6489,5,4,2
21,8,22,2,5,1
36,4,7666,1,3,3
26,2,4190,1,1,2
15,7,6625,4,5,3
33,2,3992,1,1,2
15,4,10364,4,3,4
30,1,1806,1,1,1
14,4,11654,4,3,4
32,1,6431,1,1,2
11,4,6523,5,3,2
16,6,6581,3,4,2
14,6,5465,4,4,2
23,3,16081,2,2,5
30,1,1591,1,1,1
15,5,18032,4,4,5
14,7,14949,4,5,5
14,5,2587,4,4,1
12,4,19891,5,3,5
19,3,5245,2,2,2
18,3,9868,3,2,4
14,7,16558,4,5,5
11,8,2128,5,5,1
15,2,5363,4,1,2
22,4,12106,2,3,4
